Dataset,AUC-ROC,AUC-PR
data/NAB/occupancy_6005.test.csv,0.39302402388904417,0.07553300919533164
data/NASA-SMAP/F-1.test.csv,0.39043725190625866,0.00995200963532875
data/KDD-TSAD/161_UCR_Anomaly_WalkingAceleration1.test.csv,0.2081484299057521,0.020014164421025195
data/KDD-TSAD/053_UCR_Anomaly_DISTORTEDWalkingAceleration1.test.csv,0.2612443086641134,0.021187662881751664
data/NASA-MSL/P-15.test.csv,0.10877635004619132,0.003874581697085574
data/NAB/elb_request_count_8c0756.test.csv,0.5004947713224511,0.09953045602159231
data/GutenTAG/cbf-type-trend/test.csv,0.6025636363636363,0.011843900391799826
data/GutenTAG/poly-combined-diff-2/test.csv,0.2667785460992908,0.040082038039256584
data/NAB/ec2_cpu_utilization_ac20cd.test.csv,0.6949736989115116,0.2756005020443658
data/NAB/speed_t4013.test.csv,0.09773719376391982,0.054651749104008746
data/NAB/occupancy_t4013.test.csv,0.223632,0.061381531968239506
data/NASA-SMAP/T-3.test.csv,0.3284194784680322,0.01445617603996149
data/NormA/Discords_marotta_valve_tek_16.test.csv,0.5616886032430213,0.027455034817146888
data/NAB/speed_7578.test.csv,0.0469661311777346,0.055018364980210135
data/NAB/exchange-3_cpc_results.test.csv,0.15445600622920647,0.05543809022311758
data/NAB/ec2_cpu_utilization_fe7f93.test.csv,0.5677984390051296,0.2210930065497811
data/NAB/speed_6005.test.csv,0.359532846391144,0.07956727037125585
data/NAB/ec2_cpu_utilization_825cc2.test.csv,0.3667123202144584,0.07159309353640027
data/KDD-TSAD/019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1.test.csv,0.6772464947230755,0.005064803657224408
data/GutenTAG/poly-type-mean/test.csv,0.4199848484848485,0.012467044957682175
data/NAB/exchange-4_cpm_results.test.csv,0.3347227032108049,0.29464552148129364
data/NAB/grok_asg_anomaly.test.csv,0.46706665838740724,0.1258159112924161
data/NAB/ec2_cpu_utilization_24ae8d.test.csv,0.43802475227169935,0.11485439782497947
data/NAB/ambient_temperature_system_failure.test.csv,0.44405472916542954,0.09259244318952081
data/GutenTAG/poly-type-trend/test.csv,0.00044444444444444403,0.005016812103407492
data/NAB/rds_cpu_utilization_e47b3b.test.csv,0.6823759987939092,0.2774136986517219
data/NAB/ec2_cpu_utilization_77c1ca.test.csv,0.4785833993738064,0.08700028642069504
data/NAB/ec2_network_in_5abac7.test.csv,0.30389611290885443,0.1296789863758887
data/GutenTAG/cbf-diff-count-1/test.csv,0.6618050505050506,0.013261365593532503
data/GutenTAG/poly-diff-count-4/test.csv,0.4374431175731717,0.04270262654411418
data/GutenTAG/poly-diff-count-5/test.csv,0.28969637579143087,0.027096051169978118
data/NAB/ec2_network_in_257a54.test.csv,0.3676819007621948,0.07241232722966412
data/NASA-MSL/P-14.test.csv,0.13553973112152176,0.01622165421693328
data/GutenTAG/cbf-diff-count-4/test.csv,0.5531758420140584,0.03030727623707623
data/NAB/exchange-4_cpc_results.test.csv,0.4094763603559274,0.28920881742393295
data/NormA/Discords_marotta_valve_tek_14.test.csv,0.4839492977972175,0.04630107136089891
data/NAB/iio_us-east-1_i-a2eb1cd9_NetworkIn.test.csv,0.38746074377229256,0.08848075510391813
data/NAB/TravelTime_387.test.csv,0.5502489745744418,0.11349195688194759
data/NASA-SMAP/E-7.test.csv,0.313688945189347,0.14627185602415782
data/NAB/ec2_request_latency_system_failure.test.csv,0.6661049934292855,0.13900698364564518
data/NAB/art_daily_nojump.test.csv,0.5872982118815415,0.11372948509498156
data/GutenTAG/ecg-type-platform/test.csv,0.9999717171717172,0.9972650375105568
data/GutenTAG/cbf-diff-count-3/test.csv,0.4757679101177448,0.017381517202832986
data/NASA-MSL/F-4.test.csv,0.36917296077269346,0.015265678331192172
data/NASA-MSL/P-10.test.csv,0.09239467528797003,0.011551608334190337
data/GutenTAG/cbf-same-count-5/test.csv,0.620417052631579,0.05948533060997982
data/GutenTAG/poly-combined-diff-3/test.csv,0.3895935898361366,0.007761332088648186
data/GutenTAG/cbf-same-count-1/test.csv,0.48322727272727267,0.009073412071323074
data/GutenTAG/cbf-position-end/test.csv,0.5927343434343434,0.013153036838160525
data/NAB/ec2_cpu_utilization_5f5533.test.csv,0.598952893932541,0.13453574086454734
data/GutenTAG/cbf-same-count-2/test.csv,0.586345918367347,0.02221654524011336
data/NAB/TravelTime_451.test.csv,0.5886510371625224,0.1177234252705083
data/NAB/ec2_cpu_utilization_53ea38.test.csv,0.584059043624851,0.1432115341828063
data/NASA-MSL/F-5.test.csv,0.5088045576120305,0.037321074847779905
data/KDD-TSAD/248_UCR_Anomaly_weallwalk.test.csv,0.9935208259166963,0.04244735499283278
data/NormA/Discords_marotta_valve_tek_17.test.csv,0.397568375410509,0.019387895270910806
data/GutenTAG/cbf-combined-diff-1/test.csv,0.5485725177304965,0.10115765546387114
data/NAB/art_daily_jumpsdown.test.csv,0.5389798336668976,0.10960230798249308
data/GutenTAG/poly-diff-count-3/test.csv,0.4289852909145466,0.016196259242315474
data/KDD-TSAD/069_UCR_Anomaly_DISTORTEDinsectEPG5.test.csv,0.996808616734816,0.015151515151515152
data/KDD-TSAD/107_UCR_Anomaly_NOISEinsectEPG3.test.csv,0.748578608765581,0.012008090238835444
data/GutenTAG/cbf-same-count-10/test.csv,0.6339252747252747,0.11172739078661073
data/KDD-TSAD/097_UCR_Anomaly_NOISEGP711MarkerLFM5z3.test.csv,0.29947488266183375,0.0025518930653091547
data/GutenTAG/ecg-noise-30%/test.csv,0.7223626262626263,0.01645812095142426
