Dataset,AUC-ROC,AUC-PR
data/NAB/occupancy_6005.test.csv,0.4779704474700948,0.10387211725944136
data/NASA-SMAP/F-1.test.csv,0.4625716196516504,0.013074367252403553
data/KDD-TSAD/161_UCR_Anomaly_WalkingAceleration1.test.csv,0.4127309489931526,0.026608475590234482
data/KDD-TSAD/053_UCR_Anomaly_DISTORTEDWalkingAceleration1.test.csv,0.45630778127291377,0.029154706384569844
data/NASA-MSL/P-15.test.csv,0.38650373729738813,0.005921373128697248
data/NAB/elb_request_count_8c0756.test.csv,0.5266587174321231,0.12635211223941084
data/GutenTAG/cbf-type-trend/test.csv,0.5988656565656567,0.012190839563912276
data/GutenTAG/poly-combined-diff-2/test.csv,0.27451471631205676,0.0378354713856874
data/NAB/ec2_cpu_utilization_ac20cd.test.csv,0.39279186755164314,0.07485776238876612
data/NAB/speed_t4013.test.csv,0.541184855233853,0.20907843300176554
data/NAB/occupancy_t4013.test.csv,0.5647413333333333,0.1824706812750699
data/NASA-SMAP/T-3.test.csv,0.46949756583887925,0.03876778069804204
data/NormA/Discords_marotta_valve_tek_16.test.csv,0.5330467787869457,0.026731941926114396
data/NASA-SMAP/P-1.test.csv,0.3570793065183143,0.06696197229384758
data/NAB/speed_7578.test.csv,0.6181273235785668,0.36030698541933565
data/NAB/exchange-3_cpc_results.test.csv,0.5686652037469622,0.16164792317367918
data/NASA-MSL/F-7.test.csv,0.6460133757854485,0.1293230246271043
data/NAB/ec2_cpu_utilization_fe7f93.test.csv,0.5228008727411356,0.12665172671852626
data/NAB/speed_6005.test.csv,0.5405252609742421,0.12698328814817736
data/NAB/ec2_cpu_utilization_825cc2.test.csv,0.4275863077291483,0.112372373533588
data/KDD-TSAD/019_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z1.test.csv,0.4192683779920314,0.0028570986741935597
data/NAB/rogue_agent_key_hold.test.csv,0.38380925718551695,0.09044704195121123
data/GutenTAG/poly-type-mean/test.csv,0.33321111111111107,0.00680233284070879
data/NAB/exchange-4_cpm_results.test.csv,0.5843104272827718,0.1476554602449086
data/NAB/grok_asg_anomaly.test.csv,0.483726598155795,0.10157084738371489
data/NAB/ec2_cpu_utilization_24ae8d.test.csv,0.5139464523114455,0.11250834213511843
data/NAB/ambient_temperature_system_failure.test.csv,0.6314472012308039,0.2785372119188054
data/GutenTAG/poly-type-trend/test.csv,0.8534484848484849,0.05889380055984147
data/NASA-SMAP/G-4.test.csv,0.532258064516129,0.5341579596943262
data/NAB/rds_cpu_utilization_e47b3b.test.csv,0.5188095335992216,0.12197020235013775
data/NAB/ec2_cpu_utilization_77c1ca.test.csv,0.5234364476402183,0.12242568243253645
data/NAB/ec2_network_in_5abac7.test.csv,0.5614776161130676,0.1544472594741788
data/GutenTAG/cbf-diff-count-1/test.csv,0.2359363636363636,0.00597470348131875
data/NASA-MSL/T-8.test.csv,0.5224376271327162,0.16157952210530288
data/GutenTAG/poly-diff-count-4/test.csv,0.5433412835998095,0.03830322624274346
data/GutenTAG/poly-diff-count-5/test.csv,0.5376687461469256,0.05027039719609838
data/NAB/ec2_network_in_257a54.test.csv,0.5701428457141842,0.15614642812839394
data/NASA-MSL/P-14.test.csv,0.751329411138771,0.1450746574801427
data/GutenTAG/cbf-diff-count-4/test.csv,0.635469834715981,0.050123961348345805
data/NAB/exchange-4_cpc_results.test.csv,0.543625702218395,0.13486483224400203
data/NormA/Discords_marotta_valve_tek_14.test.csv,0.6704949673271501,0.1216933228040905
data/NAB/iio_us-east-1_i-a2eb1cd9_NetworkIn.test.csv,0.5895752511688053,0.13299064813653005
data/NAB/TravelTime_387.test.csv,0.5913899935593105,0.16878358885885622
data/NASA-SMAP/E-7.test.csv,0.6042914275608571,0.18995489163575185
data/NAB/ec2_request_latency_system_failure.test.csv,0.5154784232794609,0.139040582488606
data/NAB/art_daily_nojump.test.csv,0.39288485983123267,0.07643717113165645
data/GutenTAG/ecg-type-platform/test.csv,0.27287676767676766,0.006247821832715378
data/GutenTAG/cbf-diff-count-3/test.csv,0.6594022438069881,0.05713050693056601
data/GutenTAG/rw-type-platform/test.csv,0.033333333333333326,0.005170630816959669
data/NASA-MSL/F-4.test.csv,0.8115130652611581,0.1084214102896826
data/NASA-MSL/P-10.test.csv,0.7847702953810974,0.16329867587440433
data/NASA-MSL/T-4.test.csv,0.5917267157854965,0.41393110359527735
data/GutenTAG/cbf-same-count-5/test.csv,0.4962690526315789,0.044531360628767426
data/GutenTAG/poly-combined-diff-3/test.csv,0.48287398638080803,0.00915794864007846
data/GutenTAG/cbf-same-count-1/test.csv,0.6762565656565657,0.016452011577023473
data/GutenTAG/cbf-position-end/test.csv,0.30240101010101006,0.006405526706074286
data/NAB/ec2_cpu_utilization_5f5533.test.csv,0.5231062319257707,0.11993065531219066
data/GutenTAG/cbf-same-count-2/test.csv,0.7136954081632653,0.05672749282213884
data/NAB/TravelTime_451.test.csv,0.5310189188869012,0.12496101085316105
data/NAB/ec2_cpu_utilization_53ea38.test.csv,0.5351558324082069,0.12942436064397606
data/NASA-MSL/F-5.test.csv,0.7341808609095906,0.5787129230185388
data/KDD-TSAD/248_UCR_Anomaly_weallwalk.test.csv,0.278687551916459,0.000410913872452334
data/NASA-SMAP/S-1.test.csv,0.7450118109316951,0.5885421797008615
data/NormA/Discords_marotta_valve_tek_17.test.csv,0.8184828484195403,0.12565218419278804
data/GutenTAG/cbf-combined-diff-1/test.csv,0.5224868794326241,0.06915691275015155
data/NAB/art_daily_jumpsdown.test.csv,0.5738074936734481,0.3626103620541944
